year,prefecture,population,gdp2015,dis_expen,maintain_expen,restore_expen
2019,Miyazaki,1077000,3745051,8562184,5342833,8481940
2019,Kagoshima,1602000,5793869,7977884,4527890,7977884
2019,Okinawa,1462000,4476736,1275775,3509385,1275775
2018,Hokkaido,5293000,20607795,43453083,28579542,43452401
2018,Aomori,1268000,4477045,589446,16482989,589446
2018,Iwate,1240000,4888992,80507613,13616061,80507613
2018,Miyagi,2320000,10026724,122396445,5088121,122396445
2018,Akita,985000,3521894,14805956,8484273,14805956
2018,Yamagata,1092000,4324382,2665373,10515645,2665373
2018,Fukushima,1869000,7973675,34467666,21189278,34467666
2018,Ibaraki,2892000,14346548,457022,8668008,457022
2018,Tochigi,1953000,9502320,888753,7228430,888753
2018,Gunma,1957000,9232175,1064198,4768510,1064198
2018,Saitama,7325000,23574239,168913,13942110,168913
2018,Chiba,6273000,21485913,1839271,2465698,1839271
2018,Tokyo,13887000,114968715,1508032,104946823,1507736
2018,Kanagawa,9197000,35448441,448734,12748930,448734
2018,Niigata,2246000,9333729,13093110,22569317,13093110
2018,Toyama,1050000,4915220,3159249,6309410,3159249
2018,Ishikawa,1145000,4912500,3174390,4869858,3174390
2018,Fukui,777000,3681443,4717740,5243122,4717740
2018,Yamanashi,821000,3574080,2457076,3346095,2457076
2018,Nagano,2073000,8652166,5435284,11346183,5435284
2018,Gifu,2001000,7969871,8005680,11010891,8005680
2018,Shizuoka,3667000,18073299,3122833,8182329,3122833
2018,Aichi,7541000,42218177,795582,20349727,795577
2018,Mie,1793000,8685482,10392906,2003347,10392906
2018,Shiga,1414000,6926871,2726158,2716932,2726158
2018,Kyoto,2598000,10855425,11100888,3921800,11100888
2018,Osaka,8838000,41660821,3267217,28126492,3267217
2018,Hyogo,5501000,22155228,14893243,10663626,14893243
2018,Nara,1341000,3823194,4907633,4152414,4907633
2018,Wakayama,940000,3751947,7212312,4266042,7209181
2018,Tottori,562000,1948700,7706724,4542778,7706724
2018,Shimane,682000,2635313,3753561,9538321,3753561
2018,Okayama,1904000,7824103,14968921,12467173,14968921
2018,Hiroshima,2824000,12343477,28341270,11816241,28341270
2018,Yamaguchi,1369000,6366857,5598411,4983681,5598411
2018,Tokushima,736000,3255147,3629583,6097885,3629583
2018,Kagawa,963000,3949666,1552834,7071931,1552834
2018,Ehime,1357000,5117943,13865309,3849509,13865309
2018,Kochi,707000,2456757,10342302,6368763,10342302
2018,Fukuoka,5131000,20017686,22758048,5707644,22758048
2018,Saga,821000,3168999,1734414,1982842,1734414
2018,Nagasaki,1341000,4709172,1559478,5571989,1559478
2018,Kumamoto,1759000,6244326,112217244,6016474,112217244
2018,Oita,1143000,4642305,14281019,2961191,14281019
2018,Miyazaki,1084000,3801166,5776529,5288764,5776529
2018,Kagoshima,1614000,5849900,4312883,4303906,4312883
2018,Okinawa,1454000,4450969,680748,3688064,680748
2017,Hokkaido,5325000,20523042,43424158,29086832,43418913
2017,Aomori,1282000,4559712,4004580,17080378,4002743
2017,Iwate,1254000,4852796,82302288,15079941,82302288
2017,Miyagi,2326000,9990499,171668285,5451278,171668285
2017,Akita,999000,3618701,4150293,3031536,4150293
2017,Yamagata,1103000,4371098,2391297,10857276,2391297
2017,Fukushima,1886000,8025032,53058359,22096185,53054055
2017,Ibaraki,2902000,14248690,1215778,8385986,1202878
2017,Tochigi,1962000,9498461,515654,7074489,515165
2017,Gunma,1963000,9281530,991983,2619071,991983
2017,Saitama,7307000,23485603,336736,15104121,336736
2017,Chiba,6258000,21373051,1195804,2008758,1195804
2017,Tokyo,13768000,113396884,1226750,104890388,1226630
2017,Kanagawa,9173000,35173007,275064,11882593,275064
2017,Niigata,2267000,9266887,6660805,26147345,6660805
