prefecture,month,mean_ntl
Miyagi,2024-11-01,1.7233658027939909
Miyagi,2024-12-01,1.632330092492184
Miyagi,2025-01-01,1.5128943749620445
Miyagi,2025-02-01,1.993763125194359
Miyagi,2025-03-01,1.3428666637434048
Miyagi,2025-04-01,1.8444225532313372
Miyagi,2025-05-01,1.8603965361245396
Miyagi,2025-06-01,1.723638472075663
Miyagi,2025-07-01,1.7141559435284692
Miyagi,2025-08-01,1.4798783713002346
Miyagi,2025-09-01,1.703704947224345
Miyagi,2025-10-01,1.6556267551872634
Miyagi,2025-11-01,1.463671917726635
Miyagi,2025-12-01,1.7924388593078175
Miyagi,2026-01-01,1.855434600128521
Miyagi,2026-02-01,1.65534090400644
Miyagi,2026-03-01,1.8604872551721812
Miyazaki,2014-01-01,0.5372592813605521
Miyazaki,2014-02-01,0.4691127474131064
Miyazaki,2014-03-01,0.44198185037720833
Miyazaki,2014-04-01,0.41174930516556096
Miyazaki,2014-05-01,0.5203598883421432
Miyazaki,2014-06-01,0.46789223342471864
Miyazaki,2014-07-01,0.5032327184475361
Miyazaki,2014-08-01,0.5572285369978519
Miyazaki,2014-09-01,0.4388971604891978
Miyazaki,2014-10-01,0.4524472217356508
Miyazaki,2014-11-01,0.2472279650891283
Miyazaki,2014-12-01,0.5877381876349551
Miyazaki,2015-01-01,0.5133662469516574
Miyazaki,2015-02-01,0.6434572591188861
Miyazaki,2015-03-01,0.4536323971607554
Miyazaki,2015-04-01,0.4121937728353673
Miyazaki,2015-05-01,0.5159301377827387
Miyazaki,2015-06-01,0.4153641103569892
Miyazaki,2015-07-01,0.3851525303309535
Miyazaki,2015-08-01,0.3654551498571094
Miyazaki,2015-09-01,0.4471937762794938
Miyazaki,2015-10-01,0.5139855128774196
Miyazaki,2015-11-01,0.4769073429180712
Miyazaki,2015-12-01,0.5662051749143612
Miyazaki,2016-01-01,0.4753129505803416
Miyazaki,2016-02-01,0.4365992375115172
Miyazaki,2016-03-01,0.4288385483235104
Miyazaki,2016-04-01,0.365352746141454
Miyazaki,2016-05-01,0.5023245386530294
Miyazaki,2016-06-01,0.4689923209804851
Miyazaki,2016-07-01,0.4312894298412033
Miyazaki,2016-08-01,0.35778720742453646
Miyazaki,2016-09-01,0.3937262151964223
Miyazaki,2016-10-01,0.5274860604647554
Miyazaki,2016-11-01,0.4272037557378001
Miyazaki,2016-12-01,0.4897419522506528
Miyazaki,2017-01-01,0.55750946726893
Miyazaki,2017-02-01,0.5819410487118365
Miyazaki,2017-03-01,0.6268048194304714
Miyazaki,2017-04-01,0.6429273758636771
Miyazaki,2017-05-01,0.7999834940696582
Miyazaki,2017-06-01,0.5602909914850952
Miyazaki,2017-07-01,0.5981695151968855
Miyazaki,2017-08-01,0.6291134071231859
Miyazaki,2017-09-01,0.6427786032810904
Miyazaki,2017-10-01,0.7433847987019642
Miyazaki,2017-11-01,0.6610492440616316
Miyazaki,2017-12-01,0.5958955050018563
Miyazaki,2018-01-01,0.6066923975878448
Miyazaki,2018-02-01,0.698938051795317
Miyazaki,2018-03-01,0.5925364614377593
Miyazaki,2018-04-01,0.5733192597497722
Miyazaki,2018-05-01,0.6427748212463456
Miyazaki,2018-06-01,0.5910405525258442
Miyazaki,2018-07-01,0.6533900017848067
Miyazaki,2018-08-01,0.5747677747010158
