"eq_id","prefecture","mean_pga","max_pga"
"usb000syza","Tokyo",0.441340148448944,0.749879810722899
"usb000syza","Tottori",NA,NA
"usb000syza","Toyama",1.67281913757324,8.66042107793169
"usb000syza","Wakayama",NA,NA
"usb000syza","Yamagata",0.199731260538101,0.278679910984332
"usb000syza","Yamaguchi",NA,NA
"usb000syza","Yamanashi",0.673739731311798,1.8664427393298
"usb000tpvj","Aichi",NA,NA
"usb000tpvj","Akita",NA,NA
"usb000tpvj","Aomori",1.51555025577545,2.89513599666665
"usb000tpvj","Chiba",NA,NA
"usb000tpvj","Ehime",NA,NA
"usb000tpvj","Fukui",NA,NA
"usb000tpvj","Fukuoka",NA,NA
"usb000tpvj","Fukushima",NA,NA
"usb000tpvj","Gifu",NA,NA
"usb000tpvj","Gunma",NA,NA
"usb000tpvj","Hiroshima",NA,NA
"usb000tpvj","Hokkaido",NA,NA
"usb000tpvj","Hyogo",NA,NA
"usb000tpvj","Ibaraki",NA,NA
"usb000tpvj","Ishikawa",NA,NA
"usb000tpvj","Iwate",2.09679460525513,5.79507678557568
"usb000tpvj","Kagawa",NA,NA
"usb000tpvj","Kagoshima",NA,NA
"usb000tpvj","Kanagawa",NA,NA
"usb000tpvj","Kochi",NA,NA
"usb000tpvj","Kumamoto",NA,NA
"usb000tpvj","Kyoto",NA,NA
"usb000tpvj","Mie",NA,NA
"usb000tpvj","Miyagi",1.10163164138794,2.01142210071261
"usb000tpvj","Miyazaki",NA,NA
"usb000tpvj","Nagano",NA,NA
"usb000tpvj","Nagasaki",NA,NA
"usb000tpvj","Nara",NA,NA
"usb000tpvj","Niigata",NA,NA
"usb000tpvj","Oita",NA,NA
"usb000tpvj","Okayama",NA,NA
"usb000tpvj","Okinawa",NA,NA
"usb000tpvj","Osaka",NA,NA
"usb000tpvj","Saga",NA,NA
"usb000tpvj","Saitama",NA,NA
"usb000tpvj","Shiga",NA,NA
"usb000tpvj","Shimane",NA,NA
"usb000tpvj","Shizuoka",NA,NA
"usb000tpvj","Tochigi",NA,NA
"usb000tpvj","Tokushima",NA,NA
"usb000tpvj","Tokyo",NA,NA
"usb000tpvj","Tottori",NA,NA
"usb000tpvj","Toyama",NA,NA
"usb000tpvj","Wakayama",NA,NA
"usb000tpvj","Yamagata",NA,NA
"usb000tpvj","Yamaguchi",NA,NA
"usb000tpvj","Yamanashi",NA,NA
"usc000trsc","Aichi",NA,NA
"usc000trsc","Akita",0.339636355638504,0.484205484390259
"usc000trsc","Aomori",0.419239819049835,0.916351497173309
"usc000trsc","Chiba",NA,NA
"usc000trsc","Ehime",NA,NA
"usc000trsc","Fukui",NA,NA
"usc000trsc","Fukuoka",NA,NA
"usc000trsc","Fukushima",0.144147485494614,0.258579343557358
"usc000trsc","Gifu",NA,NA
"usc000trsc","Gunma",NA,NA
"usc000trsc","Hiroshima",NA,NA
"usc000trsc","Hokkaido",0.182819530367851,0.373155623674393
"usc000trsc","Hyogo",NA,NA
"usc000trsc","Ibaraki",NA,NA
"usc000trsc","Ishikawa",NA,NA
"usc000trsc","Iwate",0.598806798458099,1.49489665031433
"usc000trsc","Kagawa",NA,NA
"usc000trsc","Kagoshima",NA,NA
"usc000trsc","Kanagawa",NA,NA
"usc000trsc","Kochi",NA,NA
"usc000trsc","Kumamoto",NA,NA
"usc000trsc","Kyoto",NA,NA
"usc000trsc","Mie",NA,NA
"usc000trsc","Miyagi",0.329355001449585,0.79389214515686
"usc000trsc","Miyazaki",NA,NA
"usc000trsc","Nagano",NA,NA
"usc000trsc","Nagasaki",NA,NA
"usc000trsc","Nara",NA,NA
"usc000trsc","Niigata",NA,NA
"usc000trsc","Oita",NA,NA
"usc000trsc","Okayama",NA,NA
"usc000trsc","Okinawa",NA,NA
"usc000trsc","Osaka",NA,NA
"usc000trsc","Saga",NA,NA
"usc000trsc","Saitama",NA,NA
"usc000trsc","Shiga",NA,NA
"usc000trsc","Shimane",NA,NA
"usc000trsc","Shizuoka",NA,NA
"usc000trsc","Tochigi",NA,NA
"usc000trsc","Tokushima",NA,NA
"usc000trsc","Tokyo",NA,NA
"usc000trsc","Tottori",NA,NA
"usc000trsc","Toyama",NA,NA
"usc000trsc","Wakayama",NA,NA
"usc000trsc","Yamagata",0.237851276993752,0.266073524951935
"usc000trsc","Yamaguchi",NA,NA
"usc000trsc","Yamanashi",NA,NA
"usc000ts49","Aichi",NA,NA
"usc000ts49","Akita",0.386896759271622,0.566556215286255
"usc000ts49","Aomori",0.462177157402039,1.0375611782074
"usc000ts49","Chiba",NA,NA
"usc000ts49","Ehime",NA,NA
"usc000ts49","Fukui",NA,NA
"usc000ts49","Fukuoka",NA,NA
"usc000ts49","Fukushima",0.185069158673286,0.323919743299484
"usc000ts49","Gifu",NA,NA
"usc000ts49","Gunma",NA,NA
"usc000ts49","Hiroshima",NA,NA
"usc000ts49","Hokkaido",0.214318677783012,0.390282720327377
"usc000ts49","Hyogo",NA,NA
"usc000ts49","Ibaraki",NA,NA
"usc000ts49","Ishikawa",NA,NA
"usc000ts49","Iwate",0.691997110843658,1.65701901912689
"usc000ts49","Kagawa",NA,NA
"usc000ts49","Kagoshima",NA,NA
"usc000ts49","Kanagawa",NA,NA
"usc000ts49","Kochi",NA,NA
"usc000ts49","Kumamoto",NA,NA
"usc000ts49","Kyoto",NA,NA
"usc000ts49","Mie",NA,NA
"usc000ts49","Miyagi",0.376230299472809,0.885184228420258
"usc000ts49","Miyazaki",NA,NA
"usc000ts49","Nagano",NA,NA
"usc000ts49","Nagasaki",NA,NA
"usc000ts49","Nara",NA,NA
"usc000ts49","Niigata",NA,NA
"usc000ts49","Oita",NA,NA
"usc000ts49","Okayama",NA,NA
"usc000ts49","Okinawa",NA,NA
"usc000ts49","Osaka",NA,NA
"usc000ts49","Saga",NA,NA
"usc000ts49","Saitama",NA,NA
"usc000ts49","Shiga",NA,NA
"usc000ts49","Shimane",NA,NA
"usc000ts49","Shizuoka",NA,NA
"usc000ts49","Tochigi",NA,NA
"usc000ts49","Tokushima",NA,NA
"usc000ts49","Tokyo",NA,NA
"usc000ts49","Tottori",NA,NA
"usc000ts49","Toyama",NA,NA
"usc000ts49","Wakayama",NA,NA
"usc000ts49","Yamagata",0.270890682935715,0.327161133289337
"usc000ts49","Yamaguchi",NA,NA
"usc000ts49","Yamanashi",NA,NA
"us20002e96","Aichi",NA,NA
"us20002e96","Akita",NA,NA
"us20002e96","Aomori",NA,NA
"us20002e96","Chiba",NA,NA
"us20002e96","Ehime",NA,NA
"us20002e96","Fukui",NA,NA
"us20002e96","Fukuoka",NA,NA
"us20002e96","Fukushima",NA,NA
"us20002e96","Gifu",NA,NA
"us20002e96","Gunma",NA,NA
"us20002e96","Hiroshima",NA,NA
